model,n_classes,precision_macro,recall_macro,f1_macro
RandomForest,6,0.9751,0.9821,0.9786
KNN,6,0.9403,0.9459,0.9425
MLPClassifier,6,0.8932,0.9014,0.8894
SVM,6,0.8422,0.827,0.7802
LogisticRegression,6,0.7893,0.8129,0.7596
